TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x87c80880,TCPv4,127.0.0.1,58781,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87cf7c58,TCPv4,127.0.0.1,58783,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87cce008,TCPv4,127.0.0.1,12080,127.0.0.1,58787,ESTABLISHED,1220,AvastSvc.exe,-
0,0x9542a910,TCPv4,192.168.1.66,58779,46.105.38.60,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87c5aa58,TCPv4,127.0.0.1,12080,127.0.0.1,58791,ESTABLISHED,1220,AvastSvc.exe,-
0,0x89febdf8,TCPv4,192.168.1.66,58793,213.152.6.106,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87cfe208,TCPv4,127.0.0.1,58738,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87d80df8,TCPv4,127.0.0.1,58792,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87bc5008,TCPv4,192.168.1.66,58782,157.55.15.45,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87c23df8,TCPv4,192.168.1.66,58796,94.245.117.47,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87b57da0,TCPv4,127.0.0.1,58795,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
0,0x87c3d880,TCPv4,127.0.0.1,12080,127.0.0.1,58781,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87b0bc58,TCPv4,192.168.1.66,58739,74.125.230.198,80,ESTABLISHED,1220,AvastSvc.exe,-
0,0x87b977c8,TCPv4,192.168.1.66,58810,178.33.229.168,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87c26008,TCPv4,192.168.1.66,58807,81.171.102.234,80,CLOSE_WAIT,1220,AvastSvc.exe,-
0,0x87ce1ba0,TCPv4,127.0.0.1,58815,127.0.0.1,12080,ESTABLISHED,3044,iexplore.exe,-
